"name","year","duration","genre","rating","description","director","stars"
"The Gallows","2015","1h 21min","Horror Mystery Thriller","4.3","20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.","Travis Cluff","Reese Mishler Pfeifer Brown Ryan Shoos"
"The Adventures of Rocky & Bullwinkle","2000","1h 32min","Adventure Comedy Family","4.3","When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.","Des McAnuff","Robert De Niro Rene Russo Piper Perabo"
"Marmaduke","2010","1h 39min","Comedy Family","4.3","A suburban family moves to a new neighborhood with their large, yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.","Tom Dey","Owen Wilson Judy Greer Lee Pace"
"Yoga Hosers","2016","1h 28min","Action Comedy Horror","4.3","Two teenage yoga enthusiasts must do battle with an evil presence that is threatening to rise from its underground lair and endanger their major party plans.","Kevin Smith","Lily-Rose Depp Harley Quinn Smith Johnny Depp"
"Artemis Fowl","2020","1h 35min","Adventure Family Fantasy","4.3","Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father.","Kenneth Branagh","Ferdia Shaw Lara McDonnell Josh Gad"
"Movie 43","2013","1h 30min","Comedy","4.4","A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.","Elizabeth Banks","Emma Stone Stephen Merchant Richard Gere"
"The Human Centipede (First Sequence)","2009","1h 32min","Horror","4.4","A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.","Tom Six","Dieter Laser Winter Williams Ashlynn Yennie"
"Basic Instinct 2","2006","1h 54min","Drama Mystery Thriller","4.4","Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.","Michael Caton-Jones","Sharon Stone David Morrissey David Thewlis"
"Cinderella","2021","1h 52min","Comedy Family Fantasy","4.4","A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true.","Kay Cannon","Camila Cabello Billy Porter Nicholas Galitzine"
"Spy Kids 3: Game Over","2003","1h 24min","Action Adventure Comedy","4.4","Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.","Robert Rodriguez","Daryl Sabara Alexa PenaVega Antonio Banderas"
"Supergirl","1984","2h 4min","Action Adventure Fantasy","4.4","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.","Jeannot Szwarc","Helen Slater Faye Dunaway Peter O'Toole"
"Ghost Rider: Spirit of Vengeance","2011","1h 36min","Action Fantasy Thriller","4.4","Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","Mark Neveldine","Nicolas Cage Ciarán Hinds Idris Elba"
"Stop! Or My Mom Will Shoot","1992","1h 27min","Action Comedy","4.4","A tough police sergeant's overbearing mother comes to visit him and begins to meddle in his life and career.","Roger Spottiswoode","Sylvester Stallone Estelle Getty JoBeth Williams"
"Bio-Dome","1996","1h 28min","Comedy","4.4","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","Jason Bloom","Pauly Shore Stephen Baldwin William Atherton"
"Alvin and the Chipmunks: Chipwrecked","2011","1h 27min","Animation Adventure Comedy","4.4","Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.","Mike Mitchell","Justin Long Matthew Gray Gubler Jesse McCartney"
"Cell","2016","1h 38min","Action Adventure Horror","4.4","When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England.","Tod Williams","John Cusack Samuel L. Jackson Isabelle Fuhrman"
"Exposed","2016","1h 42min","Crime Drama Mystery","4.4","A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.","Gee Malik Linton","Ana de Armas Keanu Reeves Christopher McDonald"
"Ultraviolet","2006","1h 28min","Action Sci-Fi","4.4","A beautiful haemophage infected with a virus that gives her superhuman powers has to protect a boy in a futuristic world, who is thought to be carrying antigens that would destroy all hæmophages.","Kurt Wimmer","Milla Jovovich Cameron Bright Nick Chinlund"
"Police Academy 6: City Under Siege","1989","1h 24min","Comedy Crime","4.4","Those bumbling cadets take to the streets when three inept goons successfully orchestrate a metropolitan crime wave.","Peter Bonerz","Bubba Smith David Graf Michael Winslow"
"Grudge","2019","1h 34min","Fantasy Horror","4.4","A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.","Nicolas Pesce","Tara Westwood Junko Bailey David Lawrence Brown"
"The Last Thing He Wanted","2020","1h 55min","Crime Drama Mystery","4.4","A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.","Dee Rees","Anne Hathaway Ben Affleck Rosie Perez"
"Look Who's Talking Now","1993","1h 36min","Comedy Family Romance","4.4","The dogs can talk at a family of 4, where mom loses her job the same day dad gets a job as pilot for a cute, single boss.","Tom Ropelewski","John Travolta Kirstie Alley David Gallagher"
"LOL","2012","1h 37min","Comedy Drama Romance","4.4","As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her.","Lisa Azuelos","Miley Cyrus Douglas Booth Ashley Greene"
"Zoom","2006","1h 33min","Action Adventure Comedy","4.4","Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.","Peter Hewitt","Tim Allen Courteney Cox Chevy Chase"
"Getaway","2013","1h 30min","Action Thriller","4.4","To save his kidnapped wife, Brent Magna must drive at the orders of a mysterious man.","Courtney Solomon","Ethan Hawke Selena Gomez Jon Voight"
"Setup","2011","1h 25min","Action Crime Drama","4.4","A group of friends become involved in a potentially deadly diamond heist.","Mike Gunther","50 Cent Bruce Willis Ryan Phillippe"
"Sex and the City 2","2010","2h 26min","Comedy Drama Romance","4.5","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.","Michael Patrick King","Sarah Jessica Parker Kim Cattrall Kristin Davis"
"Death Note","2017","1h 41min","Crime Drama Fantasy","4.5","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.","Adam Wingard","Nat Wolff LaKeith Stanfield Margaret Qualley"
"xXx²: The Next Level","2005","1h 41min","Action Adventure Crime","4.5","Darius Stone, a new agent in the xXx program, is sent to Washington, D.C. to stop a coup attempt against the President of the United States.","Lee Tamahori","Ice Cube Samuel L. Jackson Willem Dafoe"
"Little Man","2006","1h 38min","Comedy Crime","4.5","A wannabe-dad mistakes a vertically-challenged criminal on the lam for his newly-adopted son.","Keenen Ivory Wayans","Shawn Wayans Marlon Wayans Kerry Washington"
"Space Jam: A New Legacy","2021","1h 55min","Animation Adventure Comedy","4.5","A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with the Looney Tunes to win a basketball game.","Malcolm D. Lee","LeBron James Don Cheadle Cedric Joe"
"Rings","2017","1h 42min","Drama Horror Mystery","4.5","A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.","F. Javier Gutiérrez","Matilda Lutz Alex Roe Johnny Galecki"
"Jason X","2001","1h 32min","Action Horror Sci-Fi","4.5","Jason Voorhees is cryogenically frozen at the beginning of the 21st century, and is discovered in the 25th century and taken to space. He gets thawed, and begins stalking and killing the crew of the spaceship that's transporting him.","James Isaac","Kane Hodder Lexa Doig Jeff Geddis"
"Skyline","2010","1h 32min","Action Sci-Fi Thriller","4.5","Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.","Colin Strause","Eric Balfour Donald Faison Scottie Thompson"
"Nutty Professor II: The Klumps","2000","1h 46min","Comedy Romance Sci-Fi","4.5","Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines, and his reputation, are threatened by his evil clone Buddy Love.","Peter Segal","Eddie Murphy Janet Jackson Larry Miller"
"Ouija","2014","1h 29min","Horror Mystery Thriller","4.5","Terror awaits five friends who unwittingly awaken a dark power by using an antique Ouija board.","Stiles White","Olivia Cooke Ana Coto Daren Kagasoff"
"Friday the 13th Part VIII: Jason Takes Manhattan","1989","1h 40min","Adventure Horror Thriller","4.5","Jason Voorhees is accidentally awakened from his watery grave and ends up stalking a ship full of graduating high-school students headed to Manhattan, New York.","Rob Hedden","Jensen Daggett Kane Hodder Todd Caldecott"
"Big Mommas: Like Father, Like Son","2011","1h 47min","Action Comedy Crime","4.5","Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.","John Whitesell","Martin Lawrence Brandon T. Jackson Jessica Lucas"
"Paul Blart: Mall Cop 2","2015","1h 34min","Action Comedy Crime","4.5","Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.","John Whitesell","Martin Lawrence Brandon T. Jackson Jessica Lucas"
"AVPR: Aliens vs Predator - Requiem","2007","1h 34min","Action Horror Sci-Fi","4.6","Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.","Colin Strause","Reiko Aylesworth Steven Pasquale Shareeka Epps"
"Fifty Shades Darker","2017","1h 58min","Drama Mystery Romance","4.6","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.","James Foley","Dakota Johnson Jamie Dornan Eric Johnson"
"Fifty Shades Freed","2018","1h 45min","Drama Mystery Romance","4.6","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.","James Foley","Dakota Johnson Jamie Dornan Eric Johnson"
"Meet the Blacks","2016","1h 34min","Comedy Horror","4.8","As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.","Deon Taylor","Mike Epps Zulay Henao Alex Henderson"
"Daniel the Wizard","2004","1h 21min","Comedy Crime Fantasy","1.2","Evil assassins want to kill Daniel Kublbock, the third runner up for the German Idols.","Ulli Lommel","Daniel Küblböck Ulli Lommel Rudolf Waldemar Brem"
"Smolensk","2016","2h","Drama Thriller","1.2","An inspired story of people affected by the 2010 crash of Polish Air Force Flight 101 in Smolensk, Russia. Fiery reporter Nina won't accept the story she's been given and is determined to find the truth.","Antoni Krauze","Beata Fido Maciej Póltorak Aldona Struzik"
"Foodfight!","2012","1h 31min","Animation Action Adventure","1.3","The evil Brand X joins a supermarket that becomes a city after closing time.","Lawrence Kasanoff","Hilary Duff Haylie Duff Charlie Sheen"
"Saving Christmas","2014","1h 19min","Comedy Family","1.3","His annual Christmas party faltering thanks to his cynical brother-in-law, former Growing Pains star Kirk Cameron attempts to save the day by showing him that Jesus Christ remains a crucial component of the over-commercialized holiday..","Darren Doane","Kirk Cameron Darren Doane Bridgette Cameron"
